,Age,Gender,Income,Location,Device,Interest_Category,Time_Spent_on_Site,Number_of_Pages_Viewed,Click
103,34,Female,94965,Rural,Mobile,Travel,75.5922836758883,16,1
104,25,Male,66840,Urban,Mobile,Travel,15.087528797795898,11,0
105,52,Female,64695,Suburban,Tablet,Technology,50.02676645418736,5,0
106,52,Female,97988,Urban,Tablet,Travel,87.03199889264631,9,1
107,50,Female,78342,Suburban,Desktop,Technology,80.83367338774038,3,0
108,22,Male,38951,Urban,Mobile,Technology,76.84057698175991,8,1
109,59,Female,21307,Suburban,Tablet,Travel,37.49219932118101,6,0
110,56,Female,55428,Rural,Tablet,Sports,48.47286918495623,4,1
111,58,Male,95774,Rural,Desktop,Sports,16.83880664053291,12,1
112,45,Female,58975,Urban,Desktop,Travel,87.68762434986411,12,0
113,24,Female,21140,Suburban,Tablet,Sports,62.947211630996456,16,0
114,26,Female,44842,Suburban,Desktop,Fashion,86.50804771975028,10,0
115,25,Female,46421,Urban,Tablet,Fashion,33.62850535164037,14,1
116,29,Female,21708,Suburban,Mobile,Technology,42.31039629303262,13,0
117,51,Male,23630,Urban,Desktop,Sports,43.43476378491319,9,0
118,50,Female,39595,Suburban,Mobile,Fashion,7.960377120929863,7,1
119,40,Female,96021,Urban,Mobile,Travel,44.22050537552171,12,1
120,41,Male,48308,Suburban,Mobile,Sports,97.38002595457385,5,0
121,54,Male,64789,Urban,Tablet,Fashion,108.18932701121993,18,0
122,52,Male,75690,Suburban,Mobile,Fashion,64.59510629813167,4,0
123,61,Female,46086,Rural,Mobile,Travel,57.38269495021033,2,1
124,57,Male,36859,Suburban,Mobile,Technology,8.54483115042758,3,1
125,39,Female,27684,Urban,Tablet,Travel,106.108498822319,12,0
126,44,Female,21207,Rural,Mobile,Technology,6.496174543975362,3,1
127,52,Male,66099,Suburban,Mobile,Fashion,113.64625922417436,4,0
128,18,Male,87496,Rural,Desktop,Technology,61.25986859913043,6,0
129,52,Female,86093,Suburban,Tablet,Fashion,44.32246676109356,12,1
130,54,Male,49689,Rural,Mobile,Fashion,111.28512000690591,19,0
131,64,Female,68651,Urban,Desktop,Sports,7.804964207661125,10,0
132,31,Male,33893,Suburban,Tablet,Technology,71.86386290994501,1,1
133,20,Male,86418,Suburban,Tablet,Technology,68.12724031742383,17,0
134,18,Male,80011,Urban,Tablet,Technology,30.221846139308937,16,0
135,22,Female,58635,Rural,Tablet,Travel,54.32205460527422,9,1
136,43,Male,76115,Urban,Tablet,Sports,80.01036068353358,9,0
137,31,Female,98405,Urban,Tablet,Sports,88.62008764142166,9,0
138,56,Female,92702,Rural,Mobile,Sports,5.082438751256674,12,1
139,44,Female,98518,Urban,Mobile,Travel,112.73814446046676,9,1
140,26,Female,92805,Suburban,Mobile,Technology,23.920417825173427,15,1
141,32,Male,78954,Suburban,Mobile,Technology,31.861749935571307,2,0
142,32,Female,48064,Suburban,Desktop,Technology,35.29944625479254,11,1
143,43,Female,99063,Urban,Mobile,Sports,9.349315703484061,11,0
144,59,Male,22454,Suburban,Tablet,Sports,19.150994212887365,8,1
145,30,Female,40878,Suburban,Mobile,Fashion,118.43024113857864,6,0
146,49,Male,71098,Suburban,Mobile,Travel,41.249924798387894,7,0
147,56,Female,82154,Suburban,Tablet,Travel,18.259625388990674,3,1
148,49,Male,32991,Suburban,Mobile,Sports,17.303995035081684,8,0
149,21,Female,88344,Suburban,Mobile,Fashion,87.73789628204676,18,0
150,47,Male,56593,Urban,Mobile,Technology,103.2753963637537,17,1
151,54,Female,56304,Suburban,Desktop,Sports,34.54951444347404,11,0
152,40,Female,50386,Suburban,Mobile,Travel,7.404593918552021,2,0
153,56,Male,75220,Rural,Tablet,Travel,30.65535212121592,19,0
154,62,Male,89338,Urban,Tablet,Travel,11.499304441627093,7,1
155,32,Male,41083,Urban,Mobile,Technology,16.890417712454774,18,1
156,60,Male,38354,Urban,Mobile,Travel,54.62343378247887,8,1
157,46,Female,42190,Urban,Mobile,Technology,31.440612649087747,14,1
158,53,Female,26142,Suburban,Tablet,Technology,64.33377603042369,7,1
159,30,Male,48398,Suburban,Tablet,Technology,34.15178162457689,4,1
160,49,Female,71971,Rural,Desktop,Sports,113.16178962683898,17,1
161,24,Male,61862,Rural,Desktop,Technology,109.18355631152042,5,1
162,39,Male,73410,Urban,Desktop,Fashion,70.1827020762036,12,0
163,45,Female,39503,Rural,Tablet,Travel,45.75875907854941,9,0
164,19,Female,68456,Rural,Desktop,Sports,48.83189143399459,13,0
165,59,Female,28016,Urban,Mobile,Travel,52.36301256161715,18,0
166,62,Female,22384,Urban,Mobile,Technology,88.67162204551856,9,1
167,23,Female,82320,Rural,Tablet,Sports,56.93848448466636,4,0
168,45,Female,35072,Suburban,Desktop,Fashion,103.5239438481782,8,0
169,45,Female,60510,Rural,Mobile,Technology,113.57090038199192,1,0
170,61,Male,68933,Rural,Tablet,Travel,43.633807638577395,17,0
171,61,Male,41826,Suburban,Desktop,Fashion,69.47986535820321,9,0
172,37,Male,88026,Suburban,Mobile,Technology,15.93150173574491,13,1
173,47,Male,45518,Urban,Desktop,Fashion,28.053940493131282,2,1
174,28,Male,44045,Urban,Tablet,Technology,52.54856317166841,13,0
175,45,Female,70876,Rural,Desktop,Sports,28.713312328704568,9,0
176,42,Male,71919,Suburban,Tablet,Technology,105.80445644070252,6,0
177,56,Male,47103,Urban,Desktop,Sports,23.20291944679628,1,0
178,50,Male,56188,Rural,Mobile,Technology,57.400994478605575,5,1
179,18,Male,25845,Suburban,Tablet,Technology,74.6554126528857,3,0
180,44,Male,56674,Rural,Tablet,Travel,84.5643494384971,4,1
181,30,Male,39337,Urban,Tablet,Fashion,49.052977518548275,1,0
182,58,Male,42313,Urban,Desktop,Fashion,104.94639290334378,14,1
183,20,Female,46943,Suburban,Desktop,Fashion,70.35670237396144,9,1
184,56,Female,97949,Rural,Mobile,Technology,55.543394751468455,4,1
185,23,Male,20276,Suburban,Tablet,Technology,12.73267291598421,18,0
186,25,Female,71151,Urban,Tablet,Technology,58.43928887119397,14,0
187,44,Female,37611,Urban,Desktop,Sports,99.38462169380898,4,1
188,26,Female,31944,Rural,Desktop,Sports,75.67221709545127,10,0
189,54,Female,72887,Rural,Mobile,Travel,100.69868217884861,3,0
190,50,Male,69847,Rural,Mobile,Technology,61.811342118920145,7,1
191,59,Female,78653,Suburban,Desktop,Fashion,18.623096085865413,10,0
192,61,Female,76622,Rural,Tablet,Fashion,6.568582271126323,13,1
193,41,Female,47810,Rural,Mobile,Travel,39.87024787263799,4,0
194,32,Male,97842,Urban,Desktop,Fashion,85.26890422224614,18,0
195,49,Male,30503,Urban,Desktop,Travel,95.87988895329478,11,1
196,49,Male,56976,Rural,Tablet,Technology,39.011575981337884,4,1
197,41,Male,31590,Rural,Desktop,Fashion,62.000200901573415,14,1
198,58,Male,30886,Urban,Desktop,Technology,53.42867400991938,18,1
199,29,Male,32866,Rural,Mobile,Sports,52.2101202004142,8,0
200,56,Male,86624,Suburban,Desktop,Fashion,31.605102018017305,10,0
201,19,Female,88899,Suburban,Desktop,Sports,20.682677078387712,5,0
202,20,Female,52792,Suburban,Mobile,Fashion,27.619184196589508,7,1
203,54,Female,29764,Rural,Tablet,Technology,11.363224523784801,12,0
204,34,Male,62727,Urban,Tablet,Travel,27.78503530971136,3,0
205,19,Male,98471,Rural,Mobile,Technology,6.058103226918638,4,0
206,19,Male,28068,Rural,Mobile,Technology,77.1347160731375,10,1
207,45,Male,27295,Urban,Tablet,Technology,41.38317184958353,4,1
208,40,Male,61160,Urban,Tablet,Fashion,116.9116418140945,15,0
209,54,Female,31390,Urban,Tablet,Travel,27.277460839274255,10,0
210,49,Female,40131,Suburban,Tablet,Sports,44.7702855856033,16,1
211,50,Male,95969,Rural,Tablet,Technology,46.15173324377632,15,1
212,18,Male,35038,Urban,Mobile,Fashion,5.971922047182962,19,1
213,36,Male,72327,Rural,Desktop,Sports,101.50891459953777,19,1
214,19,Male,97064,Suburban,Tablet,Technology,8.679362916597343,18,0
215,61,Female,41281,Suburban,Tablet,Sports,113.12068099386276,12,1
216,43,Male,74189,Urban,Desktop,Technology,107.58855037576637,16,0
217,49,Male,68511,Urban,Desktop,Sports,66.58502034988581,1,1
218,23,Male,28605,Rural,Desktop,Sports,67.5134911147986,16,0
219,49,Male,21381,Urban,Desktop,Travel,80.18446113995797,2,0
220,21,Female,86634,Rural,Desktop,Travel,49.510751372512004,15,1
221,28,Male,39810,Urban,Desktop,Technology,79.43056259075338,7,0
222,34,Male,44322,Rural,Mobile,Fashion,10.148364699175989,1,0
223,55,Female,61869,Rural,Desktop,Travel,11.215477145218555,5,0
224,41,Female,52955,Rural,Desktop,Sports,57.5814982562476,10,1
225,22,Female,81388,Rural,Mobile,Travel,68.20656462719401,4,1
226,51,Male,30207,Suburban,Desktop,Travel,107.09902863861919,14,1
227,23,Male,87628,Rural,Tablet,Technology,17.035972899408073,13,0
228,39,Female,48220,Urban,Tablet,Travel,99.60451162729727,1,0
229,28,Female,94085,Suburban,Desktop,Travel,29.155443788588002,16,0
230,33,Female,42031,Suburban,Mobile,Sports,50.319619578653665,9,0
231,50,Female,90721,Rural,Tablet,Travel,41.40928000515248,16,1
232,26,Female,91312,Suburban,Mobile,Sports,51.017856379520886,19,0
233,23,Female,79766,Rural,Tablet,Travel,22.306982278347338,15,0
234,33,Male,32449,Urban,Desktop,Travel,62.910558556408816,14,0
235,46,Male,76699,Rural,Mobile,Fashion,97.18889783060723,10,1
236,20,Male,66092,Suburban,Mobile,Travel,55.776411193573146,12,0
237,37,Female,83671,Urban,Mobile,Sports,61.4205612282929,1,1
238,53,Female,30350,Rural,Tablet,Sports,102.60827230735114,17,1
239,36,Female,88487,Urban,Tablet,Technology,86.19668318337354,9,0
240,43,Female,37622,Urban,Tablet,Technology,61.402256979775245,19,0
241,20,Female,90263,Suburban,Desktop,Fashion,34.63499954175566,18,0
242,36,Female,73117,Urban,Tablet,Sports,106.76657588717116,7,0
243,37,Male,78394,Suburban,Desktop,Sports,71.3573461944142,9,1
244,49,Male,43782,Urban,Mobile,Sports,30.43197516272974,12,1
245,24,Female,48454,Rural,Mobile,Fashion,35.94877155337119,7,1
246,58,Male,87904,Urban,Desktop,Sports,97.36030522766828,14,1
247,50,Female,35592,Rural,Tablet,Technology,10.076739640057378,15,1
248,57,Male,42173,Rural,Desktop,Fashion,119.09060150831431,15,1
249,56,Female,53204,Urban,Mobile,Technology,19.990443167201054,6,1
250,35,Female,55596,Rural,Mobile,Technology,96.5478804206478,14,1
251,57,Male,54324,Urban,Desktop,Fashion,50.39916142874353,2,1
252,18,Male,81202,Urban,Tablet,Travel,61.60486107805869,8,1
253,28,Female,50750,Rural,Tablet,Travel,106.27481640842646,13,0
254,45,Female,96112,Rural,Desktop,Technology,52.48478680275952,6,0
255,42,Male,36566,Suburban,Desktop,Travel,66.81178167242197,5,0
256,40,Male,27190,Rural,Tablet,Sports,10.669461177054544,5,1
257,48,Female,58333,Suburban,Mobile,Fashion,5.269959494757113,1,0
258,47,Male,21589,Rural,Desktop,Technology,33.15198539519848,9,1
259,59,Female,45235,Urban,Tablet,Sports,83.26705568565824,6,1
260,52,Female,20159,Rural,Tablet,Travel,18.94546273630072,7,0
261,24,Female,32145,Urban,Mobile,Sports,18.082625262523184,9,1
262,33,Female,51921,Urban,Mobile,Travel,52.26046992412888,5,0
263,43,Male,36237,Urban,Mobile,Technology,79.50125943994605,14,1
264,19,Male,28244,Suburban,Mobile,Sports,86.88827910851201,5,1
265,18,Male,34743,Rural,Mobile,Fashion,25.5218275213131,8,0
266,29,Male,66101,Urban,Desktop,Technology,14.152636947784881,7,0
267,22,Male,76378,Urban,Tablet,Sports,113.14565890373758,13,0
268,54,Male,91126,Suburban,Desktop,Sports,34.9766339946417,13,0
269,49,Male,76071,Rural,Desktop,Travel,103.13484722500324,8,0
270,26,Female,91121,Rural,Desktop,Technology,104.3015168032241,11,0
271,58,Male,94763,Suburban,Desktop,Technology,93.84009805269261,18,1
272,52,Male,32237,Suburban,Desktop,Technology,24.41586476504556,19,1
273,36,Female,35649,Rural,Mobile,Technology,99.50716781423304,6,1
274,33,Male,57713,Suburban,Mobile,Travel,93.46381431278247,2,1
275,20,Male,93463,Rural,Tablet,Fashion,73.62314386221496,13,0
276,37,Female,65409,Rural,Desktop,Technology,43.77823404442957,11,1
277,41,Male,68766,Urban,Tablet,Travel,35.18848949065257,1,1
278,50,Male,66154,Urban,Mobile,Fashion,19.017259389241282,2,0
279,41,Male,27016,Rural,Mobile,Fashion,63.62206269360021,17,1
280,28,Female,99563,Rural,Mobile,Travel,72.30500068363234,8,0
281,25,Male,68688,Rural,Desktop,Technology,46.32398390931553,2,0
282,53,Male,74238,Rural,Desktop,Fashion,59.66629278329988,6,0
283,55,Female,78608,Rural,Mobile,Technology,46.80416259746567,5,1
284,57,Male,51897,Rural,Tablet,Technology,78.71569659188064,16,0
285,37,Female,70961,Suburban,Tablet,Sports,108.64480889660479,8,1
286,52,Female,88703,Rural,Mobile,Technology,23.85083013539866,19,1
287,42,Male,64757,Suburban,Tablet,Sports,48.8620131388592,16,1
288,52,Female,46917,Suburban,Mobile,Fashion,21.19988945434905,13,0
289,42,Female,42736,Rural,Tablet,Travel,76.86853359690068,7,0
290,46,Male,47990,Rural,Mobile,Sports,88.82010859118851,16,0
291,35,Female,82551,Suburban,Tablet,Travel,112.16996424870743,16,1
292,63,Female,78161,Suburban,Desktop,Fashion,37.07027152001096,12,1
293,35,Male,99623,Rural,Mobile,Technology,114.27428867452447,14,0
294,19,Male,42440,Rural,Mobile,Fashion,12.275207259377602,18,1
295,52,Male,55205,Suburban,Tablet,Travel,74.34659428692764,18,0
296,33,Female,75103,Suburban,Mobile,Fashion,11.570262724482948,16,0
297,58,Male,90812,Suburban,Mobile,Technology,107.78403159262366,16,1
298,53,Female,61627,Urban,Mobile,Fashion,65.92804156305621,13,1
299,50,Female,39008,Suburban,Desktop,Technology,81.97506033772154,9,0
300,21,Female,91274,Urban,Desktop,Sports,100.63100147970204,9,1
301,50,Female,52402,Rural,Tablet,Travel,22.285721585656407,13,0
302,31,Female,73384,Rural,Desktop,Technology,9.438029622885391,4,0
303,38,Female,25793,Suburban,Tablet,Technology,106.071331779978,9,1
304,37,Female,25571,Rural,Desktop,Fashion,41.217321157777235,15,0
305,25,Male,36209,Rural,Tablet,Sports,19.832574411624005,14,1
306,24,Male,63148,Rural,Desktop,Technology,58.87304226501495,19,0
307,20,Female,22224,Rural,Desktop,Sports,73.80519870504216,12,1
308,34,Female,68695,Urban,Tablet,Sports,8.561619393588664,6,1
309,50,Male,52441,Urban,Mobile,Fashion,36.61300069956509,3,0
310,29,Female,59129,Suburban,Mobile,Technology,8.77198554184304,16,1
311,39,Male,82368,Suburban,Desktop,Fashion,53.33856975748238,17,1
312,39,Male,64760,Suburban,Tablet,Travel,107.9365033426181,16,0
313,63,Male,43478,Rural,Mobile,Travel,118.00502732176045,6,1
314,47,Female,91854,Rural,Tablet,Technology,78.26046865291717,8,0
315,55,Female,32180,Urban,Mobile,Sports,23.588334785228056,19,1
316,55,Male,35372,Urban,Tablet,Technology,109.17267984992016,2,0
317,62,Male,49796,Suburban,Desktop,Technology,64.36849966800696,14,0
318,25,Male,78272,Urban,Tablet,Travel,22.68117089183558,12,0
319,44,Male,74040,Urban,Mobile,Travel,110.99856698694106,17,0
320,44,Male,95357,Urban,Desktop,Sports,92.10894083315685,15,1
321,51,Female,91368,Urban,Tablet,Sports,89.14610636316243,18,0
322,38,Male,98356,Urban,Mobile,Technology,86.55578093635654,16,1
323,47,Female,36211,Suburban,Desktop,Fashion,28.03907942609087,13,0
324,50,Male,25842,Suburban,Tablet,Technology,29.265769546365497,17,1
325,45,Female,83115,Urban,Mobile,Sports,84.15369481913433,8,0
326,64,Female,86852,Suburban,Tablet,Fashion,30.268116262695642,1,1
327,50,Female,65968,Rural,Tablet,Travel,55.447245132350616,3,1
328,22,Female,37508,Urban,Desktop,Sports,94.93020994330325,16,0
329,36,Female,42005,Rural,Desktop,Sports,95.15453958125171,2,0
330,21,Female,74575,Suburban,Mobile,Fashion,57.125103840473855,15,0
331,52,Male,38971,Suburban,Desktop,Sports,96.10184290165319,1,1
332,34,Female,45599,Rural,Mobile,Sports,101.44150656277652,9,1
333,61,Male,86914,Suburban,Tablet,Sports,80.29921139768993,16,1
334,45,Female,87055,Urban,Tablet,Sports,31.26897301546832,4,1
335,47,Female,25355,Rural,Mobile,Sports,36.511354744337964,12,0
336,46,Male,74120,Urban,Tablet,Sports,41.206732872004565,1,0
337,63,Female,94619,Rural,Desktop,Sports,18.43247238940448,1,0
338,23,Male,58342,Suburban,Tablet,Sports,36.41335634254369,7,0
339,52,Male,98860,Rural,Desktop,Travel,29.094710795941193,18,1
340,58,Male,22257,Rural,Mobile,Sports,57.362806227989246,15,1
341,54,Male,47364,Urban,Mobile,Travel,109.47031800531047,13,0
342,41,Female,44972,Suburban,Tablet,Travel,17.01523642670518,16,1
343,46,Female,46654,Urban,Tablet,Technology,87.83081125395049,7,0
344,63,Male,49320,Suburban,Desktop,Technology,84.03754550750969,16,1
345,48,Female,40808,Urban,Desktop,Travel,16.01173284628613,13,1
346,52,Female,72389,Rural,Tablet,Travel,111.09582656416701,14,1
347,50,Male,54773,Urban,Tablet,Sports,70.37430324803425,17,1
348,38,Female,71168,Suburban,Mobile,Technology,46.828434930603684,12,1
349,49,Male,47747,Suburban,Mobile,Fashion,92.00193710196027,13,1
350,40,Male,96396,Rural,Mobile,Technology,34.59702771618792,15,0
351,50,Female,77505,Suburban,Tablet,Travel,84.75363126032684,4,1
352,20,Female,38135,Urban,Tablet,Travel,9.56678887080843,2,0
353,35,Female,67377,Rural,Tablet,Sports,101.53192432506627,18,0
354,42,Male,43554,Suburban,Mobile,Sports,56.539647407451625,2,0
355,59,Male,82491,Suburban,Tablet,Technology,78.2196851511633,15,0
356,48,Female,75621,Urban,Desktop,Sports,30.44234927776862,19,0
357,20,Female,78283,Urban,Tablet,Fashion,82.86347695572151,15,0
358,57,Female,36923,Rural,Tablet,Fashion,93.80763172772681,10,1
359,63,Female,67591,Suburban,Tablet,Sports,59.419516491705856,11,1
360,41,Male,82261,Urban,Tablet,Fashion,76.03859626710634,10,1
361,49,Female,74336,Rural,Tablet,Fashion,57.47748123957584,5,0
362,64,Male,94083,Suburban,Desktop,Technology,107.82050746465224,9,0
363,39,Male,80948,Suburban,Desktop,Fashion,62.2549557591467,19,0
364,40,Female,53002,Rural,Tablet,Travel,101.80800153831417,13,1
365,19,Female,93016,Rural,Mobile,Travel,97.15548670107859,18,1
366,44,Female,46672,Urban,Tablet,Technology,52.208054455061,17,1
367,59,Male,24213,Suburban,Tablet,Sports,31.45971656360963,6,0
368,19,Female,30293,Suburban,Tablet,Technology,51.69944524437366,10,0
369,43,Female,75860,Suburban,Mobile,Sports,100.01499821415031,2,0
370,34,Male,82507,Rural,Mobile,Sports,31.177741619230122,6,1
371,57,Female,77134,Urban,Mobile,Sports,65.31017977364118,13,0
372,50,Male,22100,Suburban,Desktop,Sports,97.70112601548595,18,0
373,26,Female,81997,Rural,Mobile,Sports,45.649909639763564,7,0
374,60,Male,48172,Suburban,Desktop,Technology,78.8541082553102,2,0
375,56,Female,40132,Urban,Desktop,Sports,33.24763101561367,14,1
376,46,Female,38199,Suburban,Mobile,Fashion,17.56713621733839,5,1
377,59,Male,56609,Urban,Mobile,Fashion,96.35418588567848,18,0
378,43,Male,62965,Urban,Mobile,Sports,16.381391692001287,11,0
379,52,Female,28016,Suburban,Desktop,Fashion,36.20886043415223,10,1
380,42,Male,59779,Suburban,Tablet,Travel,103.33758352970561,11,1
381,41,Male,51881,Urban,Mobile,Technology,44.84396801404673,2,0
382,30,Male,44472,Rural,Mobile,Technology,116.90021519412852,15,1
383,24,Male,71813,Urban,Mobile,Sports,117.66944849899387,7,1
384,53,Female,56021,Suburban,Desktop,Sports,35.85174235215902,9,0
385,62,Female,74131,Suburban,Desktop,Travel,9.712495558737402,5,1
386,37,Male,44087,Rural,Tablet,Sports,86.0822776836186,7,1
387,18,Male,32828,Urban,Mobile,Fashion,56.86344780455953,2,1
388,25,Male,81610,Urban,Desktop,Travel,16.586577055351274,3,1
389,63,Male,21401,Urban,Tablet,Fashion,86.36512418247493,2,0
